key,doc_count
Amerikanski Slovenec,179
Slovenska bčela,27
Slovenska žena,13
Sodobnost,5
Loški razgledi,4
Delo,4
Kmetijski list,2
Slovenski pravnik,1
Dekliški list,1
Glasnik slovenski,1
Gorenjski glas,1
Ljubljanski časnik,1
Slovenski list,1
Literarna pratika,1
