key,doc_count
Marko Simčič,4
Stanko Kociper,4
Mara Stepanova,4
Anton Gaspari,4
Anton Žakelj,4
Lev Nikolajevič Tolstoj,4
Papež Pij IX.,4
Rudolf Golouh,4
Dora Gruden,4
Poljski avtorji,4
Vera Lestan,4
Marica Strnad Cizerlj,4
Vatroslav Holz,4
Fran Lipah,4
Marija Grošelj,4
Oskar Hudales,4
Josip Korban,4
Frančišek Svetličič,4
Ivan Macher,4
Bret Harte,4
A. Š.,4
Josip Ciril Oblak,4
Johannes Frischauf,4
Pisma Otona Trabanta,4
Jurij Kobe,4
Matija Vertovec,4
Marija Erjavec,4
Radovan Hrastov,4
Igor Gruden,4
Henrik Tuma,4
Jože Zupančič,4
I. Zupančič,4
Jernej Levicnik,3
Lepa Vida,3
Davorin Trstenjak,3
Ljubljansko Barje,3
Alojzij Carli,3
Boris Pintar,3
Mirko Kunčič,3
Anton Tomaž Linhart,3
Janja Vidmar,3
Karel Štrekelj,3
Josip Benkovič,3
Alojz Pikel,3
Ferdo Kočevar,3
Etbin Kristan,3
Anton Ingolič,3
Josip Brinar,3
Alojz Ihan,3
Mateja Perpar,3
Babica pripoveduje,3
Dane Zajc,3
Feri Lainšček,3
Janez Menart,3
Slavko Osterc,3
Anton Janežič,3
Primož Kozak,3
Janez Žagar,3
Ludvik Zorzut,3
Slavko Grum,3
Ivan Potrč,3
Jože Kovič,3
August Šenoa,3
Maksim Gorki,3
Arkadij Timofejevič Averčenko,3
Paul Verlaine,3
Leonid Nikolajevič Andrejev,3
Rabindranath Tagore,3
Leopold Turšič,3
Anton Stres,3
Peter Božič,3
Zdravko Ocvirk,3
Papež Leon XIII.,3
Marcela Bole,3
Boris Rihteršič,3
Ivan Vuk,3
Jurij Kosmač,3
Jakob Zupan,3
Pavel Brežnik,3
Anton Sovre,3
Oskar Kamenšek,3
Papež Evgen IV.,3
Ludvik XVI. Francoski,3
Viktor Eržen,3
Marica Gregorič Stepančič,3
Janez Evangelist Krek,3
Maks Simončič,3
Jakob Aljaž,3
Josip Novak,3
Franc Jožef I. Habsburško-Lotarinški,3
Jožef Urbanija,3
Matej Brence,3
Jožef Bevk,3
Andrej Skopec,3
Gospod Izidor Fučec,3
Anton Melik,3
Jožef Schwegel,3
A. Praprotnik,3
Jože Abram,3
Ferdinand Seidl,3
Vladimir Iljič Uljanov,2
Milan Lipovec,2
Fran Gestrin,2
Franc Pirc,2
Theodor Körner,2
Fran Celestin,2
Ivan Macun,2
Andrej Budal,2
Vitan Mal,2
Josip Ribičič,2
Adela Milčinović,2
Franc Hubad,2
Vinko Möderndorfer,2
Mateja Reba,2
Josip Kenda,2
Ivan Trinko,2
Janko Šlebinger,2
Franc Miklošič,2
Josip Gruden,2
Polona Škrinjar,2
Miha Avanzo,2
Mira Dobravec,2
Vid Pečjak,2
Jože Brojan,2
Josip Wester,2
Fran Nedeljko,2
Jože Pahor,2
Tone Šifrer,2
Anton Ukmar,2
Fran Tratnik,2
Josip Regali,2
Stanko Svetina,2
Danila Žorž,2
Ljuba Prenner,2
Anica Černejeva,2
Josip Stare,2
Franc Podgornik,2
Valentin Zarnik,2
Maks Pleteršnik,2
Roman Tominec,2
Matija Murko,2
Anton Brezovnik,2
Metod Dolenc,2
Ivan Matičič,2
Frančišek Lampe,2
Fran Vidic,2
Guy de Maupassant,2
Henriette Brey,2
Ana Lebar,2
Niko Kuret,2
Joža Likovič,2
Margarete Seemann,2
Francka Zupančič,2
Franjo Strah,2
Ivan Franke,2
Silvester Škerl,2
Andrej Čebokli,2
Mile Klopčič,2
Tine Debeljak,2
Ivan Dornik,2
Janko Moder,2
Li Bai,2
Franja Golob,2
Branko Jeglič,2
Marko Studen,2
Ivo Brnčić,2
Octave Mirbeau,2
Branislav Nušić,2
Franc Kulovec,2
Ivan Podlesnik,2
Leopolda Leskovec,2
Filip Terčelj,2
Mirko Javornik,2
Anton Leskovec,2
Švedski avtorji,2
Alenka Žumbar Klopčič,2
Ivan Jenko,2
Hilarij Zorn,2
Miljutin Zarnik,2
Rudolf Arko,2
Milan Jaklič,2
Ivanka Anžič Klemenčič,2
France Zbašnik,2
Mihael Tušek,2
Frank S. Tauchar,2
Ilka Vašte,2
Frane Milčinski - Ježek,2
Ivan Fajdiga,2
Papež Bonifacij VIII.,2
Filip Jakob Kafol,2
Mihael Opeka,2
Josip Freuensfeld,2
Janko Leban,2
Ignacij Hladnik,2
Lambert Ferčnik,2
Janez Parapat,2
Julij Kleinmayr,2
Leopold Gorenjec,2
Andreas Hofer,2
Jožef Levičnik,2
Josip Godina,2
Ferdo Kleinmayr,2
Janko Kač,2
Lino Legiša,2
Ivan Lazohrib,2
Kranjska Gora,2
Papež Pij X.,2
Franc Puhar,2
Josip Sernec,2
Ljudevit Wölfling,2
Planinski vestnik,2
Jože Ambrožič,2
Norveski Avtorji,2
Jakob Žnidaršič,2
Ivan Skuhala,2
France Kadilnik,2
Kristina Šuler,2
Milka Adamičeva,2
Lovro Toman,2
Hans Kirchsteiger,2
Josip Pagliaruzzi,2
Antonija Šolar,2
Jernej Kopitar,2
Pavel Turner,2
Goriški Stol,2
Peter Klepec,2
Jezerska Kočna,2
Stanko Pečar,2
G. F. Tabor,2
Matija Majar,2
Anton Aleksander Auersperg,2
Peter Kozler,2
Carl Codelli,2
Sveti Tomaž,2
Alojzij Stroj,2
Jurij Grabrijan,2
Jožef Koller,2
Josip Juraj Strossmayer,2
Jiří Čermák,2
