doc_index	title	categories
1029	Slovenske večernice	slovenska_knjizevnost, zgodovinski_romani
1037	Črna žena	delac, prevodi, priredbe, zgodovinski_romani
1046	Od Rošlina in Verjankota	nezbrano_delo_franceta_preserna, slovenska_knjizevnost
1049	Soldaška (prva)	nezbrano_delo_franceta_preserna, slovenska_knjizevnost
1058	Druga soldaška	nezbrano_delo_franceta_preserna, slovenska_knjizevnost
1069	Ljubček se na pot napravil	nezbrano_delo_franceta_preserna, slovenska_knjizevnost
1070	Ljubezen	nezbrano_delo_franceta_preserna, slovenska_knjizevnost
1072	Prijat'lju Lašanu	nezbrani_napisi, razlicni_napisi, slovenska_knjizevnost
1073	Gospodu Smuku (Posvetilo primerka Krsta)	nezbrani_napisi, razlicni_napisi, slovenska_knjizevnost
1075	Gospodu Izmajlu Sreznjevskemu v spomin velikega tedna leta 1841	nezbrani_napisi, razlicni_napisi, slovenska_knjizevnost
1076	Ljubezen	nezbrano_delo_franceta_preserna, slovenska_knjizevnost
1096	Anton Martin Slomšek	nezbrani_napisi, slovenska_knjizevnost, zabavljivi_napisi
1102	Pesmi od posušila močvirja	nezbrani_napisi, slovenska_knjizevnost, zabavljivi_napisi
1103	Glosatorju	nezbrani_zapisi, slovenska_knjizevnost, zabavljivi_napisi
1104	Zakaj se moj rojak napenja	nezbrani_napisi, slovenska_knjizevnost, zabavljivi_napisi
1106	Ker stara para zlomek devištva preveč vzel	nezbrani_napisi, slovenska_knjizevnost, zabavljivi_napisi
1107	Od kralja Matjaža	nezbrano_delo_franceta_preserna, slovenska_knjizevnost
1109	Ljubljančanam	nezbrani_napisi, slovenska_knjizevnost, zabavljivi_napisi
1110	Opasal vere je orožje	nagrobni_napisi, nezbrani_napisi, slovenska_knjizevnost
1117	Jasni so in srečni b'li	grobni_napisi, nagrobni_napisi, nezbrani_napisi, slovenska_knjizevnost
1119	Zaljšal cerkve vidijoče	nagrobni_napisi, nezbrani_napisi, slovenska_knjizevnost
1120	Moj bron je najden bil v dnu morja, ko Turčije	nezbrani_napisi, razlicni_napisi, slovenska_knjizevnost
1121	Steze popustil nemškega Parnasa	nagrobni_napisi, nezbrani_napisi, slovenska_knjizevnost
1128	Od Marjetike	nezbrano_delo_franceta_preserna, slovenska_knjizevnost
1129	Od Matjaža, ogrskega kralja	nezbrano_delo_franceta_preserna, slovenska_knjizevnost
1130	Pušičarjem I, II	nezbrani_napisi, slovenska_knjizevnost, zabavljivi_napisi
1131	Črni kos	nezbrano_delo_franceta_preserna, slovenska_knjizevnost
1132	Pismo Franceta Prešerna Mihi Kastelcu, Celovec, 10. marec 1832	dela_v_nemscini, slovenska_knjizevnost
1133	Žlahtni gospod Baroda	nezbrano_delo_franceta_preserna, slovenska_knjizevnost
1134	Prijatlju Ferdinandu Šmidu	nezbrani_napisi, razlicni_napisi, slovenska_knjizevnost
1136	Prvo pismo Franceta Prešerna Matiju Čopu, Celovec, 5. februar 1832	dela_v_nemscini, slovenska_knjizevnost
1137	Od majerce	nezbrano_delo_franceta_preserna, slovenska_knjizevnost
1138	Prvo pismo Franceta Prešerna Antonu Aleksandru Auerspergu, Ljubljana, okoli 1843–1844	dela_v_nemscini, slovenska_knjizevnost
1141	Drugo pismo Franceta Prešerna Matiju Čopu, Celovec, 13. februar 1832	dela_v_nemscini, slovenska_knjizevnost
1143	Prvo pismo Franceta Prešerna Stanku Vrazu, Ljubljana, 4. marec 1837	dela_v_nemscini, slovenska_knjizevnost
